id	subject	predicate	object	category	agent_type	has_attribute	knowledge_level
uuid:418b1422-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	MALAT1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 1',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 1',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 1.0})] })	observation
uuid:418b1d82-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	PCDH9	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 2',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 2',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 2.0})] })	observation
uuid:418b25fc-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	DPP10	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 3',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 3',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 3.0})] })	observation
uuid:418b2e6c-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	DSCAM	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 4',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 4',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 4.0})] })	observation
uuid:418b36c8-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	MACF1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 5',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 5',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 5.0})] })	observation
uuid:418b3f10-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LUC7L3	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 6',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 6',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 6.0})] })	observation
uuid:418b4730-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	FRMD4A	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 7',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 7',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 7.0})] })	observation
uuid:418b4f96-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	PTPRG	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 8',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 8',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 8.0})] })	observation
uuid:418b57ca-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	TNR	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 9',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 9',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 9.0})] })	observation
uuid:418b5ff4-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	ATP10A	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 10',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 10',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 10.0})] })	observation
uuid:418b6828-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	LSAMP	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 11',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 11',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 11.0})] })	observation
uuid:418b70ac-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	IL1RAPL1	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 12',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 12',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 12.0})] })	observation
uuid:418b78c2-455c-11f0-bac5-92a5c40acabb	Amygdala	biolink:expresses	KCNIP4	biolink:Association	data_analysis_pipeline	Attribute({   'id': 'Expression level rank 13',   'category': ['biolink:Attribute'],   'name': 'Expression level rank 13',   'provided_by': ['KIBR; Stanford University'],   'has_attribute_type': 'EDAM:data_3754',   'has_quantitative_value': [QuantityValue({'has_numeric_value': 13.0})] })	observation
